"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"moonBook","moonBook","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.3",NA,"R (>= 3.1.2)","nortest, survival, sjmisc, purrr, stringr, magrittr",NA,"testthat, knitr, ggplot2, ztable, sjlabelled, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"MPV","MPV","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.53",NA,"R (>= 2.0.1)",NA,NA,NA,NA,"Unlimited",NA,NA,NA,NA,"no","3.5.0"
"mratios","mratios","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4.0",NA,"R (>= 2.12.0)","mvtnorm, stats",NA,"multcomp, nlme",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"MSwM","MSwM","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4",NA,"methods, graphics, parallel","nlme",NA,NA,NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","3.5.0"
"muhaz","muhaz","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.6",NA,"R(>= 2.3)","survival",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","3.5.0"
"multcomp","multcomp","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4-8",NA,"stats, graphics, mvtnorm (>= 1.0-3), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, car,
foreign, xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"multicool","multicool","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1-10",NA,"methods, Rcpp (>= 0.11.2)",NA,"Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"multiwayvcov","multiwayvcov","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.3",NA,"R (>= 3.0.0)","sandwich, boot, compiler, parallel, stats, utils",NA,"lmtest",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"munsell","munsell","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"mvtnorm","mvtnorm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-8",NA,"R(>= 1.9.0)","stats, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"nanotime","nanotime","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.2",NA,NA,"methods, bit64, RcppCCTZ (>= 0.2.3), zoo",NA,"RUnit, data.table, xts",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"ncdf4","ncdf4","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.16",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.5.0"
"netrankr","netrankr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.0",NA,"R (>= 3.0.1)","igraph (>= 1.0.1), Rcpp (>= 0.12.8)","Rcpp,RcppArmadillo","knitr, rmarkdown, magrittr, ggplot2, testthat, shiny (>=
0.13), miniUI (>= 0.1.1), rstudioapi (>= 0.5)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"NetSwan","NetSwan","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1",NA,"igraph",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"network","network","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.13.0.1",NA,"R (>= 2.10), utils",NA,NA,"sna, statnet.common, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"networkD3","networkD3","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4",NA,"R (>= 3.0.0)","htmlwidgets (>= 0.3.2), igraph, magrittr",NA,"htmltools (>= 0.2.6), jsonlite,","knitr, shiny","GPL (>= 3)",NA,NA,NA,NA,"no","3.5.0"
"networkDynamic","networkDynamic","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9.0",NA,"R (>= 3.0.0), network (>= 1.13)","statnet.common, methods","network","testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"neuralnet","neuralnet","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.33",NA,"R (>= 2.9.0)","grid, MASS, grDevices, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"NISTunits","NISTunits","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.1",NA,"R (>= 2.7.0)",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.0"
"nleqslv","nleqslv","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.3.2",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"nlme","nlme","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.1-137","recommended","R (>= 3.4.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,"GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","3.5.1"
"nloptr","nloptr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.4",NA,NA,NA,NA,"testthat (>= 0.8.1)",NA,"LGPL-3",NA,NA,NA,NA,"yes","3.5.0"
"NLP","NLP","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1-11",NA,"R (>= 3.2.0)","utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"nnet","nnet","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","7.3-12","recommended","R (>= 2.14.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.1"
"nor1mix","nor1mix","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2-3",NA,NA,"stats, graphics",NA,"cluster",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"nortest","nortest","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-4",NA,NA,"stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"np","np","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.60-8",NA,NA,"boot, cubature, methods, quadprog, quantreg, stats",NA,"MASS",NA,"GPL",NA,NA,NA,NA,"yes","3.5.0"
"numDeriv","numDeriv","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2016.8-1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"nycflights13","nycflights13","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.0",NA,"R (>= 2.10)","tibble",NA,"dplyr",NA,"CC0",NA,NA,NA,NA,"no","3.5.0"
"officer","officer","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.2",NA,NA,"Rcpp (>= 0.12.12), R6, grDevices, base64enc, zip,
digest,uuid,utils,stats, magrittr,htmltools, xml2 (>= 1.1.0)","Rcpp","testthat, devEMF, knitr,tibble,ggplot2, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"openNLP","openNLP","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2-6",NA,NA,"NLP (>= 0.1-6.3), openNLPdata (>= 1.5.3-1), rJava (>= 0.6-3)",NA,"openNLPmodels.en",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"openNLPdata","openNLPdata","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.5.3-4",NA,NA,"rJava (>= 0.6-3)",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"openssl","openssl","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.1",NA,NA,"askpass",NA,"testthat, digest, knitr, rmarkdown, jsonlite, jose",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.2"
"openxlsx","openxlsx","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","4.1.0",NA,"R (>= 3.3.0)","methods, Rcpp, grDevices, stats, utils, zip","Rcpp","knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"optextras","optextras","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2016-8.8",NA,"numDeriv",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"optimx","optimx","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2013.8.7",NA,NA,"numDeriv, ucminf, BB, Rcgmin, Rvmmin, minqa, setRNG, dfoptim,
svUnit",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"orcutt","orcutt","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.2",NA,"lmtest","stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"ordinal","ordinal","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2018.4-19",NA,"R (>= 2.13.0), methods","ucminf, MASS, Matrix",NA,"lme4, nnet, xtable, testthat (>= 0.8)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"packagedocs","packagedocs","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.0",NA,"R (>= 3.1.1)","crayon, devtools, digest, evaluate, highlight, htmltools,
lazyrmd (>= 0.2.0), magrittr, rmarkdown, stringr, tools,
whisker, yaml",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"packrat","packrat","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.9-3",NA,"R (>= 3.0.0)","tools, utils",NA,"testthat (>= 0.7), devtools, httr, knitr, rmarkdown","BiocInstaller","GPL-2",NA,NA,NA,NA,"no","3.5.0"
"pacman","pacman","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5.0",NA,"R (>= 3.5.0)","remotes, methods, stats, utils",NA,"BiocManager, knitr, lattice, testthat (>= 0.9.0), XML",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"pamr","pamr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.55",NA,"R (>= 2.10), cluster, survival",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"pan","pan","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.6",NA,NA,NA,NA,"mitools, lme4",NA,"GPL-3",NA,"no",NA,NA,"yes","3.5.0"
"pander","pander","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.6.2",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), koRpus, futile.logger,
survival, microbenchmark, zoo, nlme, descr, MASS, knitr,
rmarkdown, tables, reshape, memisc, Epi, randomForest, tseries,
gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"parallel","parallel","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.5.1","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 3.5.1",NA,NA,NA,NA,"yes","3.5.1"
"parallelMap","parallelMap","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3",NA,"R (>= 3.0.0)","BBmisc (>= 1.8), checkmate (>= 1.5.1), parallel",NA,"testthat, Rmpi, BatchJobs (>= 1.5)",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"ParamHelpers","ParamHelpers","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.11",NA,NA,"backports, BBmisc (>= 1.10), checkmate (>= 1.8.2), fastmatch,
methods",NA,"akima, eaf, emoa, GGally, ggplot2, gridExtra, grid, irace (>=
2.1), lhs, plyr, reshape2, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"partitions","partitions","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.9-19",NA,NA,"gmp, polynom",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","3.5.0"
"party","party","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3-0",NA,"R (>= 3.0.0), methods, grid, stats, mvtnorm (>= 1.0-2),
modeltools (>= 0.2-21), strucchange","survival (>= 2.37-7), coin (>= 1.1-0), zoo, sandwich (>=
1.1-1)","mvtnorm","TH.data (>= 1.0-3), mlbench, colorspace, MASS, vcd, ipred",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"partykit","partykit","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2-2",NA,"R (>= 3.1.0), graphics, grid, libcoin (>= 1.0-0), mvtnorm","grDevices, stats, utils, survival, Formula (>= 1.2-1), inum
(>= 1.0-0), rpart (>= 4.1-11)",NA,"XML, pmml, rJava, sandwich, strucchange, vcd, AER, mlbench,
TH.data (>= 1.0-3), coin (>= 1.1-0), RWeka (>= 0.4-19),
datasets, parallel, psychotools (>= 0.3-0), psychotree, party
(>= 1.3-0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"pbapply","pbapply","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3-4",NA,"R (>= 3.2.0)","parallel",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"pbivnorm","pbivnorm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.6.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"pbkrtest","pbkrtest","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4-7",NA,"R (>= 3.2.3), lme4 (>= 1.1.10)","Matrix (>= 1.2.3), parallel, MASS, methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"PBSmapping","PBSmapping","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.70.5",NA,"R (>= 3.0.0)",NA,NA,"foreign, maptools, deldir",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"pcaPP","pcaPP","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.9-73",NA,NA,"mvtnorm",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.5.0"
"pcse","pcse","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.9.1.1",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.0"
"pder","pder","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-0",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"pdftools","pdftools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.8",NA,NA,"Rcpp (>= 0.12.12)","Rcpp","jpeg, png, webp, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"PerformanceAnalytics","PerformanceAnalytics","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.5.2",NA,"R (>= 3.0.0), xts (>= 0.10.0)","methods, quadprog, zoo",NA,"dygraphs, Hmisc, MASS, quantmod, gamlss, gamlss.dist,
robustbase, quantreg, gplots, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"permute","permute","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9-4",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"pglm","pglm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2-1",NA,"R (>= 2.10), maxLik, plm","statmod",NA,"lmtest, car",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"pillar","pillar","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3.1",NA,NA,"cli (>= 1.0.0), crayon (>= 1.3.4), fansi (>= 0.4.0), methods,
rlang (>= 0.3.0.1), utf8 (>= 1.1.3)",NA,"knitr (>= 1.19), lubridate (>= 1.7.4), testthat (>= 2.0.0),
withr (>= 2.1.2)",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"pinp","pinp","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.0.6",NA,NA,"rmarkdown, knitr",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"pkgbuild","pkgbuild","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.2",NA,"R (>= 3.1)","callr (>= 2.0.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"pkgconfig","pkgconfig","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.0.2",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"pkgKitten","pkgKitten","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.4",NA,NA,NA,NA,"whoami (>= 1.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"pkgload","pkgload","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.2",NA,NA,"desc, methods, pkgbuild, rlang, rprojroot, rstudioapi, utils,
withr",NA,"bitops, covr, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"PKI","PKI","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1-5.1",NA,"R (>= 2.9.0), base64enc",NA,NA,NA,"gmp","GPL-2 | GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"PKPDmodels","PKPDmodels","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.2",NA,"R(>= 2.13.0)","compiler",NA,"lattice",NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.5.0"
"plm","plm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.6-6",NA,"R (>= 3.1.0), Formula (>= 0.2-0), stats","MASS, bdsmatrix, zoo, nlme, sandwich, lattice, lmtest, maxLik",NA,"AER, car, pcse, clusterSEs, clubSandwich, pglm, spdep, splm,
statmod, Ecdat, pder, stargazer, texreg, foreign",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"plogr","plogr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"plotly","plotly","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","4.8.0",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr, jsonlite, magrittr, digest, viridisLite,
base64enc, htmltools, htmlwidgets (>= 1.2), tidyr, hexbin,
RColorBrewer, dplyr, tibble, lazyeval (>= 0.2.0), rlang,
crosstalk, purrr, data.table, promises",NA,"MASS, maps, ggthemes, GGally, testthat, knitr, devtools,
shiny (>= 1.1.0), curl, rmarkdown, Rserve, RSclient, Cairo,
broom, webshot, listviewer, dendextend, sf, maptools, rgeos,
png, IRdisplay, processx, plotlyGeoAssets, forcats",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.1"
"plotlyGeoAssets","plotlyGeoAssets","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.0.1",NA,"R (>= 2.10)",NA,NA,"testthat, htmltools","plotly","MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"plotmo","plotmo","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.4.2",NA,"R (>= 3.2.0), plotrix, TeachingDemos",NA,NA,"C50 (>= 0.1.0-24), earth (>= 4.5.2), gbm (>= 2.1.1), glmnet
(>= 2.0.5), glmnetUtils (>= 1.0.3), MASS (>= 7.3-45), mlr (>=
2.12.1), neuralnet (>= 1.33), partykit (>= 1.2-2), pre (>=
0.5.0), rpart (>= 4.1-10), rpart.plot (>= 2.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"plotrix","plotrix","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.7-2",NA,NA,"grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"pls","pls","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.6-0",NA,"R (>= 2.10)","grDevices, graphics, methods, stats",NA,"MASS, parallel, Rmpi",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"plumber","plumber","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.6",NA,"R (>= 3.0.0)","R6 (>= 2.0.0), stringi (>= 0.3.0), jsonlite (>= 0.9.16),
httpuv (>= 1.2.3), crayon",NA,"testthat (>= 0.11.0), XML, rmarkdown, PKI, base64enc,
htmlwidgets, visNetwork, analogsea",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"plyr","plyr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.8.4",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, testthat, tcltk, foreach, doParallel, itertools,
iterators, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"PMA","PMA","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.11",NA,"R (>= 2.10), impute",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"png","png","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"poLCA","poLCA","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4.1",NA,"scatterplot3d, MASS",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"polspline","polspline","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.13",NA,NA,"stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"polyclip","polyclip","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.9-1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","3.5.0"
"polycor","polycor","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.7-9",NA,"R (>= 3.3.0)","stats, mvtnorm, Matrix",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"polynom","polynom","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3-9",NA,NA,"stats, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"prabclus","prabclus","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.2-6",NA,"R (>= 2.10), MASS, mclust",NA,NA,"spdep, maptools, foreign, mvtnorm",NA,"GPL",NA,NA,NA,NA,"no","3.5.0"
"praise","praise","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"pre","pre","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5.0",NA,"R (>= 3.1.0)","earth, Formula, glmnet, graphics, methods, partykit, rpart,
stringr",NA,"akima, datasets, doParallel, foreach, glmertree, grid,
mlbench, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.0"
"prediction","prediction","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.6",NA,NA,"utils, stats, data.table",NA,"datasets, methods, testthat","AER, aod, betareg, bigFastlm, biglm, brglm, caret, crch,
e1071, earth, ff, ffbase, gam (>= 1.15), gee, glmnet, glmx,
kernlab, lme4, MASS, mclogit, mda, mlogit, mnlogit, MNP, nlme,
nnet, ordinal, plm, pscl, quantreg, rpart, sampleSelection,
speedglm, survey (>= 3.31-5), survival, truncreg, VGAM","MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"prettydoc","prettydoc","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.1",NA,NA,"rmarkdown (>= 1.0)",NA,"knitr, KernSmooth",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","3.5.0"
"prettyGraphs","prettyGraphs","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.1.5",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"prettyR","prettyR","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.2",NA,NA,"grDevices, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"prettyunits","prettyunits","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.2",NA,NA,"magrittr, assertthat, methods",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"pROC","pROC","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.12.1",NA,"R (>= 2.14)","plyr, utils, methods, Rcpp (>= 0.11.1), ggplot2,","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.5.0"
"processx","processx","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.1.0",NA,NA,"assertthat, crayon, R6, utils","testthat","covr, debugme, parallel, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"prodlim","prodlim","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2018.04.18",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, graphics, survival, KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"profileModel","profileModel","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5-9",NA,"R (>= 2.6.0)",NA,NA,"MASS, gnm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"progress","progress","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.0",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"proj4","proj4","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-8",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.0"
"ProjectTemplate","ProjectTemplate","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.8.2",NA,"R (>= 2.7)",NA,NA,"foreign, reshape, plyr, digest, formatR, stringr, ggplot2,
lubridate, log4r (>= 0.1-5), DBI, RMySQL, RSQLite, gdata,
RODBC, RJDBC, readxl, xlsx, tuneR, pixmap, data.table,
RPostgreSQL, GetoptLong, whisker, tibble, testthat (>= 0.8)",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.5.0"
"promises","promises","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"proto","proto","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.0",NA,NA,NA,NA,"testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
